motor_front,motor_back,pitch_filter,pitch_raw
202, 798, 9.966059, 9.655948
199, 801, 10.049685, 9.184811
197, 803, 10.127465, 9.106902
194, 806, 10.206411, 9.041411
192, 808, 10.298178, 9.475062
188, 812, 10.402330, 10.485312
185, 815, 10.511962, 11.097586
182, 818, 10.615719, 11.548493
179, 821, 10.721862, 12.148983
176, 824, 10.814691, 12.107194
173, 827, 10.903236, 11.841723
171, 829, 10.994543, 11.670441
168, 832, 11.081043, 11.325955
166, 834, 11.149339, 10.939606
164, 836, 11.217982, 10.757218
161, 839, 11.306511, 10.839647
158, 842, 11.403167, 10.908809
156, 844, 11.476281, 10.883240
153, 847, 11.571548, 11.353220
150, 850, 11.683744, 11.737090
147, 853, 11.780610, 11.854973
144, 856, 11.883784, 12.020627
141, 859, 11.989937, 11.944990
138, 862, 12.078402, 11.833603
135, 865, 12.178467, 11.981714
133, 867, 12.260617, 12.153471
130, 870, 12.342736, 12.927771
128, 872, 12.424785, 13.390812
126, 874, 12.497099, 13.923617
124, 876, 12.562747, 13.775570
122, 878, 12.621443, 13.545052
121, 879, 12.655856, 12.661477
120, 880, 12.685808, 12.371177
119, 881, 12.711656, 12.114053
118, 882, 12.735285, 11.967206
118, 882, 12.757039, 11.896798
117, 883, 12.781096, 12.159065
116, 884, 12.809437, 12.396059
115, 885, 12.837104, 12.740260
114, 886, 12.869681, 13.136174
114, 886, 12.891850, 13.404043
113, 887, 12.918544, 13.785256
112, 888, 12.936276, 13.902960
112, 888, 12.946453, 13.862409
112, 888, 12.949088, 13.980488
112, 888, 12.943832, 13.775163
113, 887, 12.926641, 13.617781
113, 887, 12.901852, 13.486448
114, 886, 12.881723, 13.468869
115, 885, 12.850156, 13.052335
116, 884, 12.823345, 12.825121
117, 883, 12.794522, 12.593982
117, 883, 12.775233, 12.464116
118, 882, 12.751441, 12.489894
118, 882, 12.746450, 13.114518
118, 882, 12.735591, 13.219806
118, 882, 12.737173, 13.499050
119, 881, 12.723776, 13.596334
119, 881, 12.713796, 13.732759
120, 880, 12.692153, 13.837424
120, 880, 12.669847, 13.775750
122, 878, 12.628705, 13.614675
123, 877, 12.569149, 12.743146
126, 874, 12.494258, 12.289355
128, 872, 12.411908, 11.914522
131, 869, 12.309053, 11.633477
134, 866, 12.200109, 11.630153
138, 862, 12.075971, 11.886514
142, 858, 11.955005, 12.183442
146, 854, 11.805577, 12.228411
150, 850, 11.675681, 12.221449
155, 845, 11.516653, 11.925834
159, 841, 11.373804, 11.694452
164, 836, 11.215059, 11.288848
168, 832, 11.083453, 11.158460
172, 828, 10.950838, 10.882443
175, 825, 10.837191, 10.982726
178, 822, 10.742874, 11.068195
181, 819, 10.657177, 11.210023
183, 817, 10.580188, 11.304926
185, 815, 10.523237, 11.609041
186, 814, 10.469625, 11.578400
188, 812, 10.419401, 11.473641
189, 811, 10.377346, 10.658931
190, 810, 10.333779, 10.085264
192, 808, 10.276132, 9.404970
193, 807, 10.234458, 9.372252
194, 806, 10.208087, 9.313555
195, 805, 10.179051, 9.727558
196, 804, 10.136420, 9.924253
197, 803, 10.110862, 10.365314
198, 802, 10.089237, 10.680603
199, 801, 10.047011, 10.668158
201, 799, 9.995607, 10.723518
202, 798, 9.937816, 10.536127
204, 796, 9.875656, 10.155708
207, 793, 9.794066, 9.311083
209, 791, 9.703244, 9.041133
212, 788, 9.609694, 8.968960
215, 785, 9.509939, 8.885114
218, 782, 9.412701, 9.079478
220, 780, 9.335021, 9.144126
223, 777, 9.257305, 9.350220
225, 775, 9.170126, 9.724622
229, 771, 9.066458, 9.573730
232, 768, 8.963931, 9.671113
234, 766, 8.866723, 9.261635
237, 763, 8.786350, 9.365647
239, 761, 8.708142, 9.030518
241, 759, 8.640408, 9.245983
243, 757, 8.574850, 9.092560
245, 755, 8.515368, 9.206559
